char,codepoint,name,block
𒄽,U+1213D,CUNEIFORM SIGN HUB2 TIMES UD,Cuneiform
𒄾,U+1213E,CUNEIFORM SIGN HUL2,Cuneiform
𒄿,U+1213F,CUNEIFORM SIGN I,Cuneiform
𒅀,U+12140,CUNEIFORM SIGN I A,Cuneiform
𒅁,U+12141,CUNEIFORM SIGN IB,Cuneiform
𒅂,U+12142,CUNEIFORM SIGN IDIM,Cuneiform
𒅃,U+12143,CUNEIFORM SIGN IDIM OVER IDIM BUR,Cuneiform
𒅄,U+12144,CUNEIFORM SIGN IDIM OVER IDIM SQUARED,Cuneiform
𒅅,U+12145,CUNEIFORM SIGN IG,Cuneiform
𒅆,U+12146,CUNEIFORM SIGN IGI,Cuneiform
𒅇,U+12147,CUNEIFORM SIGN IGI DIB,Cuneiform
𒅈,U+12148,CUNEIFORM SIGN IGI RI,Cuneiform
𒅉,U+12149,CUNEIFORM SIGN IGI OVER IGI SHIR OVER SHIR UD OVER UD,Cuneiform
𒅊,U+1214A,CUNEIFORM SIGN IGI GUNU,Cuneiform
𒅋,U+1214B,CUNEIFORM SIGN IL,Cuneiform
𒅌,U+1214C,CUNEIFORM SIGN IL TIMES GAN2 TENU,Cuneiform
𒅍,U+1214D,CUNEIFORM SIGN IL2,Cuneiform
𒅎,U+1214E,CUNEIFORM SIGN IM,Cuneiform
𒅏,U+1214F,CUNEIFORM SIGN IM TIMES TAK4,Cuneiform
𒅐,U+12150,CUNEIFORM SIGN IM CROSSING IM,Cuneiform
𒅑,U+12151,CUNEIFORM SIGN IM OPPOSING IM,Cuneiform
𒅒,U+12152,CUNEIFORM SIGN IM SQUARED,Cuneiform
𒅓,U+12153,CUNEIFORM SIGN IMIN,Cuneiform
𒅔,U+12154,CUNEIFORM SIGN IN,Cuneiform
𒅕,U+12155,CUNEIFORM SIGN IR,Cuneiform
𒅖,U+12156,CUNEIFORM SIGN ISH,Cuneiform
𒅗,U+12157,CUNEIFORM SIGN KA,Cuneiform
𒅘,U+12158,CUNEIFORM SIGN KA TIMES A,Cuneiform
𒅙,U+12159,CUNEIFORM SIGN KA TIMES AD,Cuneiform
𒅚,U+1215A,CUNEIFORM SIGN KA TIMES AD PLUS KU3,Cuneiform
